mass_A
t	x	y
0.000000000E0	-5.032181849E-2	7.839928155E-1
1.000000000E-2	-4.897219543E-2	7.838415421E-1
2.000000000E-2	-4.648958502E-2	7.831221013E-1
3.000000000E-2	-4.454264821E-2	7.827535354E-1
4.000000000E-2	-4.232116261E-2	7.823784918E-1
5.000000000E-2	-3.936703124E-2	7.817743478E-1
6.000000000E-2	-3.693421905E-2	7.813639190E-1
7.000000000E-2	-3.378059171E-2	7.807484143E-1
8.000000000E-2	-3.107452278E-2	7.801797731E-1
9.000000000E-2	-2.795048761E-2	7.794490833E-1
1.000000000E-1	-2.477040717E-2	7.789203722E-1
1.100000000E-1	-2.113990297E-2	7.781866950E-1
1.200000000E-1	-1.803422258E-2	7.776412285E-1
1.300000000E-1	-1.431814578E-2	7.768019082E-1
1.400000000E-1	-1.063073324E-2	7.762975184E-1
1.500000000E-1	-6.670046535E-3	7.753612394E-1
1.600000000E-1	-2.853947598E-3	7.749287207E-1
1.700000000E-1	1.483839245E-3	7.739829478E-1
1.800000000E-1	5.466117148E-3	7.735048343E-1
1.900000000E-1	9.689570081E-3	7.726963186E-1
2.000000000E-1	1.430695904E-2	7.717755158E-1
2.100000000E-1	1.891005148E-2	7.713277785E-1
2.200000000E-1	2.383224143E-2	7.701871544E-1
2.300000000E-1	2.846607700E-2	7.696471551E-1
2.400000000E-1	3.356842361E-2	7.688620564E-1
2.500000000E-1	3.884371332E-2	7.677270197E-1
2.600000000E-1	4.412774084E-2	7.670339476E-1
2.700000000E-1	4.936997824E-2	7.661631798E-1
2.800000000E-1	5.486562209E-2	7.651672143E-1
2.900000000E-1	6.028909248E-2	7.639817918E-1
3.000000000E-1	6.581357959E-2	7.631053539E-1
3.100000000E-1	7.170746711E-2	7.618229963E-1
3.200000000E-1	7.741429253E-2	7.610144850E-1
3.300000000E-1	8.351297473E-2	7.600197233E-1
3.400000000E-1	8.976001862E-2	7.589941353E-1
3.500000000E-1	9.618090951E-2	7.577223342E-1
3.600000000E-1	1.027726316E-1	7.567035679E-1
3.700000000E-1	1.094313720E-1	7.552818312E-1
3.800000000E-1	1.161461616E-1	7.539967053E-1
3.900000000E-1	1.228482793E-1	7.527055291E-1
4.000000000E-1	1.289551757E-1	7.522379913E-1
4.100000000E-1	1.362095874E-1	7.518482985E-1
4.200000000E-1	1.441863367E-1	7.501788204E-1
4.300000000E-1	1.518233346E-1	7.477846045E-1
4.400000000E-1	1.586474276E-1	7.460964747E-1
4.500000000E-1	1.662737204E-1	7.444310220E-1
4.600000000E-1	1.743588773E-1	7.426918240E-1
4.700000000E-1	1.822803154E-1	7.411532688E-1
4.800000000E-1	1.902958018E-1	7.393562454E-1
4.900000000E-1	1.987084690E-1	7.375954461E-1
5.000000000E-1	2.067031658E-1	7.360169748E-1
5.100000000E-1	2.151780379E-1	7.339190073E-1
5.200000000E-1	2.235660942E-1	7.320429207E-1
5.300000000E-1	2.323522900E-1	7.298888265E-1
5.400000000E-1	2.414208301E-1	7.274546921E-1
5.500000000E-1	2.506623517E-1	7.251536455E-1
5.600000000E-1	2.599916103E-1	7.226664210E-1
5.700000000E-1	2.690706837E-1	7.202461881E-1
5.800000000E-1	2.785906278E-1	7.180456255E-1
5.900000000E-1	2.881163824E-1	7.156496239E-1
6.000000000E-1	2.980064614E-1	7.128770650E-1
6.100000000E-1	3.081817920E-1	7.103316231E-1
6.200000000E-1	3.188213959E-1	7.072313868E-1
6.300000000E-1	3.292424666E-1	7.042199280E-1
6.400000000E-1	3.388991343E-1	7.018592410E-1
6.500000000E-1	3.510682569E-1	6.993507464E-1
